Price,Capacity,Grape,Secondary Grape Varieties,Closure,Country,Unit,Per bottle / case / each,Type,ABV,Region,Style,Vintage,Appellation
11.99,37.0,11,51,0,3,5.4,0,0,14.5,18,1,12,16
27.99,75.0,1,66,0,4,10.5,0,0,14.0,23,12,12,9
49.99,1.0,11,20,0,3,21.8,0,0,14.5,18,1,12,16
27.99,75.0,11,71,0,3,10.9,0,0,14.5,18,1,12,16
10.99,75.0,30,29,0,7,9.8,0,1,13.0,19,10,13,56
35.99,75.0,26,41,0,7,9.8,0,0,13.0,19,12,2,56
6.99,37.0,29,69,0,2,4.7,0,2,12.5,7,0,11,17
9.99,37.0,26,32,0,7,5.4,0,0,14.5,19,12,11,56
7.99,75.0,11,78,1,3,9.4,0,1,12.5,16,4,12,51
61.99,75.0,26,41,0,7,10.9,0,0,14.5,19,12,7,56
29.99,75.0,26,41,0,7,10.9,0,0,14.5,19,12,10,56
17.99,75.0,21,90,0,3,10.1,0,2,13.5,18,11,11,67
8.99,75.0,7,65,0,4,9.0,0,1,12.0,24,4,13,4
33.99,75.0,27,62,0,3,9.4,0,1,12.5,17,4,12,26
29.99,75.0,9,88,0,4,9.4,0,2,12.5,23,0,12,62
16.99,75.0,11,84,0,3,10.1,0,0,13.5,10,1,9,18
11.99,75.0,26,33,0,7,10.1,0,0,13.5,19,12,8,56
35.99,150.0,26,32,0,7,21.0,0,0,14.0,19,12,10,56
61.99,150.0,26,34,0,7,21.8,0,0,14.5,19,12,8,56
8.99,75.0,13,28,1,3,7.9,0,1,10.5,12,10,13,2
9.99,75.0,12,52,1,3,9.4,0,2,12.5,10,5,12,23
9.99,75.0,11,71,1,3,10.5,0,0,14.0,10,1,12,23
14.99,75.0,15,91,1,1,10.1,0,2,13.5,25,11,10,57
270.0,75.0,1,1,0,4,10.5,0,0,14.0,23,12,11,9
29.99,75.0,1,58,0,8,11.3,0,0,15.0,5,13,11,48
120.0,75.0,24,89,0,1,11.3,0,0,15.0,21,1,4,5
180.0,75.0,24,89,0,1,11.6,0,0,15.5,21,1,4,5
